NAICS,capability,adoption,naics4
113300,0.15232876891309435,0.04320033818938606,1133
115100,0.11140504056569316,0.0342811783862019,1151
115200,0.18688215858670426,0.0469891554387118,1152
211100,0.30163561760418695,0.10625406955234923,2111
212100,0.14296791617146978,0.022687973997833157,2121
212200,0.1941816997890388,0.0385937119181087,2122
212300,0.16429397353387143,0.04976643228370529,2123
213100,0.18432734436252937,0.05008215353938185,2131
221100,0.2976930944474279,0.11913489494319895,2211
221200,0.32961156008703435,0.14541260056217892,2212
221300,0.26579890023089275,0.10478686700979578,2213
236100,0.24316146094212907,0.10104242238006879,2361
236200,0.25065045705597955,0.0786507327894488,2362
237100,0.16773876622375797,0.053760821078638756,2371
237200,0.34952396119784296,0.176225117370892,2372
237300,0.1588793669598884,0.04431275877411081,2373
237900,0.1829743193822571,0.05542813584348468,2379
238100,0.14431937553627378,0.0569898739935886,2381
238200,0.2093353928541553,0.06865637497706843,2382
238300,0.16166910304045182,0.05818946945542661,2383
238900,0.16476605682133816,0.05848208508242039,2389
311100,0.21897452017029967,0.07768114356915409,3111
311200,0.20074816044981894,0.05880677524429967,3112
311300,0.21423435900722265,0.07384009071437571,3113
311400,0.171914066330256,0.04663069618263002,3114
311500,0.18726206112447244,0.04690353191223354,3115
311600,0.10153217867993615,0.025408957667270134,3116
311700,0.14131713151992067,0.04284745762711864,3117
311800,0.18218724415518747,0.049178473246416145,3118
311900,0.18846904210708526,0.052952982483825156,3119
312100,0.22734460170698262,0.08041727548975237,3121
312200,0.2152566961309925,0.07880565832426552,3122
313100,0.13228333532300024,0.023253872832369942,3131
313200,0.1913069271863975,0.05733801742919391,3132
313300,0.23173719235591567,0.08961649341649341,3133
314100,0.17664391563682172,0.05945790591805766,3141
314900,0.20938681872086634,0.10260682656826568,3149
315100,0.16541388114558758,0.050786573146292584,3151
315200,0.22053823394965996,0.10300733555062824,3152
315900,0.22041052815679785,0.1206820202020202,3159
316100,0.15172201884404787,0.05406596638655463,3161
316200,0.11141271018616017,0.03353707602339181,3162
316900,0.2092258724626345,0.09760261780104712,3169
321100,0.12152092460798068,0.03780608934364862,3211
321200,0.1792616044518837,0.056925061870978386,3212
321900,0.183723077814646,0.06913544163854302,3219
322100,0.18038006106293572,0.04496560723514212,3221
322200,0.17682322877969245,0.06577215501092724,3222
323100,0.26293740384070574,0.13454248957501552,3231
324100,0.25459259930475064,0.07626179016455817,3241
3250A1,0.2538395618144101,0.08283656860207632,3250
3250A2,0.2623433878076535,0.11172576946658493,3250
325400,0.31374571321330214,0.10728426211487374,3254
326100,0.20043706352789775,0.06185590003872887,3261
326200,0.17937035014294278,0.05622269350380097,3262
327000,0.20263958943426003,0.0662356367355502,3270
331100,0.183167336382892,0.04404570823965084,3311
331200,0.19330545000858754,0.05621479224376732,3312
331300,0.18196530630529462,0.04784899468892261,3313
331400,0.20157325666344286,0.0571154156436338,3314
331500,0.15816693687216837,0.03960067361330386,3315
3320A1,0.2393164790759571,0.08107336395832265,3320
3320A2,0.20046489273581108,0.06840716143456835,3320
332700,0.2191969100645019,0.06426296511815859,3327
332800,0.1661882158760082,0.054678102859048096,3328
3330A1,0.2920318239766306,0.10262175477765373,3330
333300,0.3643570491332185,0.15526611455108358,3333
333500,0.2500568718443904,0.0794762037172545,3335
333600,0.28165816651449765,0.08207526839486776,3336
334100,0.4507352066415094,0.22397524000893057,3341
334200,0.43627256951822774,0.2006716687817259,3342
334300,0.4373074181500493,0.22953882259347652,3343
334400,0.3486120358949663,0.1209926985886111,3344
334500,0.4170867694901702,0.1681720514761544,3345
334600,0.42716611320043035,0.24234927536231884,3346
335100,0.3877864086328868,0.18974424475823706,3351
335200,0.27409378125969275,0.08188573228346457,3352
335300,0.33160588456199364,0.11281859898674981,3353
335900,0.31434408005074344,0.10913194539249146,3359
336100,0.2618366081059781,0.06598059957173448,3361
336200,0.19865903873963084,0.07007887659736792,3362
336300,0.22298123267449832,0.057882398234041996,3363
336400,0.32544101882138743,0.10045720890715454,3364
336500,0.2576431726724108,0.06046390773405699,3365
336600,0.2016094817962641,0.047697346752058556,3366
336900,0.2673410285223829,0.10222540518638573,3369
3370A1,0.1979217146589259,0.07197790352295373,3370
337900,0.24890882975768577,0.11445493934142115,3379
339100,0.306997673269853,0.11690266124561079,3391
339900,0.31354980934748883,0.15305474185788306,3399
4230A1,0.37851216161223744,0.21754625368426497,4230
423100,0.3169086290314725,0.1533740430657149,4231
423400,0.4649374165610873,0.2535633055949008,4234
423800,0.376943958590348,0.20870170314276995,4238
4240A1,0.3157324425267563,0.1623982511826644,4240
4240A2,0.4356338297065969,0.2240405004956729,4240
4240A3,0.33423311127521277,0.18345839699309222,4240
424300,0.41045232406997995,0.2456873865917302,4243
424500,0.24687815761094276,0.12356231754542747,4245
425100,0.4990750346546908,0.3405579977552082,4251
441100,0.3003406166532264,0.15816315968454975,4411
441200,0.29147871973116235,0.1602567086084465,4412
441300,0.26781624079907185,0.09225039590206632,4413
444100,0.32242710529938867,0.19817616240882222,4441
444200,0.29910006912680914,0.186400283286119,4442
4450A1,0.2692137191950727,0.09262517881068398,4450
445300,0.3489220640367385,0.16161832714644953,4453
449100,0.3443942967847997,0.22786137198425072,4491
449200,0.40920998434901634,0.23573520554239863,4492
455000,0.3006152055624343,0.1536716574241366,4550
456100,0.3747351191338384,0.15332301193738326,4561
457100,0.32833708148564217,0.11477172187697765,4571
457200,0.29384759733299926,0.14076406702208683,4572
458100,0.36072923963443315,0.25829306407552954,4581
458200,0.36368685716325583,0.28656133859659455,4582
458300,0.35920235002584383,0.26153875956504224,4583
4590A1,0.3428296849540257,0.22340503673427153,4590
459100,0.35673053451069753,0.24143002402772756,4591
459200,0.34709165272895387,0.2555141546734145,4592
459300,0.2987436870024783,0.09992943021432305,4593
459900,0.34993176126556796,0.2160184093844167,4599
481100,0.26199154252066953,0.11080092523596623,4811
481200,0.2882332389800071,0.09526052631578948,4812
482100,0.20398187092216669,0.039571638517218684,4821
483100,0.36652519851715243,0.20211021087680353,4831
483200,0.16435325836811007,0.031976437000380664,4832
484000,0.2196726644003017,0.05001811086233234,4840
485100,0.20907677619485573,0.04767084845735028,4851
485200,0.22541655168795047,0.058962617498192336,4852
